Year,SiteID,Location,Variety,Rep,%_heading,%_lodge,plant_ht_in,yield_bpa,%_moisture,test_wt_lbpb,straw_tpa,crown_rust,stem_rust,BYDV,septoria_leaf_blight
2015,1,Kanawha,Saber,1,70,15,35.5,119.46,12.04,34.43,,,,,
2015,1,Kanawha,Saber,2,60,45,45.0,147.15,11.49,33.91,,,,,
2015,1,Kanawha,Saber,3,70,70,47.0,132.72,11.36,33.80,,,,,
2015,1,Kanawha,Badger,1,50,55,34.5,121.61,11.48,33.63,,,,,
2015,1,Kanawha,Badger,2,50,90,43.0,158.66,11.83,34.05,,,,,
2015,1,Kanawha,Badger,3,80,95,46.0,142.80,10.96,32.18,,,,,
2015,1,Kanawha,Shelby 427,1,50,60,36.8,131.48,10.70,33.70,,,,,
2015,1,Kanawha,Shelby 427,2,80,90,48.0,132.78,10.39,33.61,,,,,
2015,1,Kanawha,Shelby 427,3,90,95,47.5,103.30,10.30,33.28,,,,,
2015,1,Kanawha,GM423,1,0,50,46.5,112.95,11.31,28.77,,,,,
2015,1,Kanawha,GM423,2,0,90,46.0,96.71,10.29,26.28,,,,,
2015,1,Kanawha,GM423,3,0,85,50.5,105.98,10.29,26.76,,,,,
2015,1,Kanawha,Rockford,1,0,50,44.5,83.93,11.19,31.98,,,,,
2015,1,Kanawha,Rockford,2,10,40,50.8,93.46,11.64,33.03,,,,,
2015,1,Kanawha,Rockford,3,0,95,47.5,90.17,10.79,31.38,,,,,
2015,1,Kanawha,Natty,1,70,50,46.0,136.81,11.14,34.64,,,,,
2015,1,Kanawha,Natty,2,60,60,46.5,138.34,10.96,34.13,,,,,
2015,1,Kanawha,Natty,3,90,75,51.5,146.71,10.70,33.30,,,,,
2015,1,Kanawha,Goliath,1,0,50,48.0,109.79,10.84,32.43,,,,,
2015,1,Kanawha,Goliath,2,0,70,47.0,111.72,10.53,31.08,,,,,
2015,1,Kanawha,Goliath,3,0,90,52.0,100.15,10.60,31.47,,,,,
2015,1,Kanawha,Souris,1,30,60,44.5,87.43,10.45,28.89,,,,,
2015,1,Kanawha,Souris,2,10,65,41.0,109.71,10.56,30.33,,,,,
2015,1,Kanawha,Souris,3,10,55,47.0,112.09,10.34,29.83,,,,,
2015,1,Kanawha,Deon,1,20,25,48.0,149.07,11.38,32.65,,,,,
2015,1,Kanawha,Deon,2,0,40,46.0,150.61,11.49,32.37,,,,,
2015,1,Kanawha,Deon,3,0,20,52.0,145.19,11.63,32.95,,,,,
2015,1,Kanawha,Leggett,1,30,70,41.0,105.74,10.73,29.63,,,,,
2015,1,Kanawha,Leggett,2,20,70,47.3,98.31,10.63,29.22,,,,,
2015,1,Kanawha,Leggett,3,0,95,51.5,85.95,10.39,28.77,,,,,
2015,1,Kanawha,Hayden,1,30,90,42.5,149.89,10.89,35.60,,,,,
2015,1,Kanawha,Hayden,2,30,60,48.0,125.33,11.00,35.52,,,,,
2015,1,Kanawha,Hayden,3,20,90,47.5,118.44,10.53,35.11,,,,,
