Year,SiteID,Location,operation,value,unit,note,,,,
2015,1,Kanawha,tillage_field cultivate,4/3/2015,date,,,,,
2015,1,Kanawha,plant_oats,4/4/2015,date,,,,,
2015,1,Kanawha,planting_rate,4,bu_ac,,,,,
2015,1,Kanawha,row_width,7.5,in,,,,,
2015,1,Kanawha,%_heading,6/12/2015,date,,,,,
2015,1,Kanawha,%_lodge,7/30/2015,date,,,,,
2015,1,Kanawha,plant_ht_in,7/30/2015,date,,,,,
2015,1,Kanawha,harvest_oats,7/30/2015,date,,,,,
2015,2,Nashua,apply_fertilizer,3/22/2015,date,,,,,
2015,2,Nashua,N_rate,18,lb_N_ac,,,,,
2015,2,Nashua,K_rate,35,lb_K2O_ac,,,,,
2015,2,Nashua,tillage_field cultivate,3/22/2015,date,,,,,
2015,2,Nashua,tillage_field cultivate,3/31/2015,date,,,,,
2015,2,Nashua,plant_oats,4/1/2015,date,,,,,
2015,2,Nashua,planting_rate,4,bu_ac,,,,,
2015,2,Nashua,row_width,7.5,in,,,,,
2015,2,Nashua,%_heading,6/12/2015,date,,,,,
2015,2,Nashua,crown_rust,6/25/2015,date,"1=low, 9=high",,,,
2015,2,Nashua,%_lodge,7/23/2015,date,,,,,
2015,2,Nashua,plant_ht_in,7/23/2015,date,,,,,
2015,2,Nashua,harvest_oats,7/23/2015,date,,,,,
2015,2,Nashua,harvest_straw,7/25/2015,date,,,,,
2016,1,Kanawha,apply_fertilizer,11/5/2015,date,,,,,
2016,1,Kanawha,N_rate,24,lb_N_ac,,,,,
2016,1,Kanawha,P_rate,115,lb_P2O5_ac,,,,,
2016,1,Kanawha,apply_fertilizer,11/11/2015,date,,,,,
2016,1,Kanawha,K_rate,156,lb_K2O_ac,,,,,
2016,1,Kanawha,tillage_field cultivate,4/6/2016,date,,,,,
2016,1,Kanawha,plant_oats,4/6/2016,date,,,,,
2016,1,Kanawha,planting_rate,4,bu_ac,,,,,
2016,1,Kanawha,row_width,7.5,in,,,,,
2016,1,Kanawha,crown_rust,7/1/2016,date,"1=low, 9=high",,,,
2016,1,Kanawha,%_lodge,7/26/2016,date,,,,,
2016,1,Kanawha,plant_ht_in,7/26/2016,date,,,,,
2016,1,Kanawha,harvest_oats,7/26/2016,date,,,,,
2016,2,Nashua,apply_fertilizer,3/29/2016,date,,,,,
2016,2,Nashua,N_rate,11,lb_N_ac,,,,,
2016,2,Nashua,P_rate,52,lb_P2O5_ac,,,,,
2016,2,Nashua,K_rate,91,lb_K2O_ac,,,,,
2016,2,Nashua,tillage_field cultivate,3/29/2016,date,,,,,
